topic_title	screen_name	epoch	text	link
MB127	AP	2013-02-21 05:00:00+00:00	Hagel has enough support for defense secretary	http://bigstory.ap.org/article/gop-senator-signals-support-hagel-nomination
MB127	REUTERS	2013-02-15 01:03:41+00:00	Republicans block vote on Obama's defense nominee, Hagel	http://www.reuters.com/article/2013/02/15/us-obama-nominations-hagel-idUSBRE91C1K320130215
MB129	USATODAY	2013-03-12 17:21:24+00:00	Angry Birds get their own cartoon network	http://www.usatoday.com/story/tech/gaming/2013/03/12/angry-birds-cartoons-coming/1982123/
MB129	USATODAY	2013-02-26 19:08:13+00:00	'Angry Birds' cartoon launching next month	http://www.usatoday.com/story/tech/gaming/2013/02/26/angry-birds-cartoon/1949115/
MB129	REUTERS	2013-03-12 13:35:27+00:00	Angry Birds cartoons head for TV screens	http://www.reuters.com/article/2013/03/12/entertainment-us-angrybirds-idUSBRE92B0JW20130312
MB129	USATODAY	2013-03-11 13:15:14+00:00	'Angry Birds' attraction to launch at Kennedy Space Center	http://www.usatoday.com/story/dispatches/2013/03/11/angry-birds-attraction-to-launch-at-kennedy-space-center/1977047/
MB130	USATODAY	2013-02-02 19:03:21+00:00	Postal Service lawyer claims immunity from traffic laws	http://www.usatoday.com/story/news/nation/2013/02/02/postal-service-traffic-laws/1885995/
MB132	USATODAY	2013-02-15 14:49:24+00:00	Russian meteor likely unconnected to asteroid flyby	http://www.usatoday.com/story/tech/sciencefair/2013/02/15/russian-meteor-blast/1922219/
MB132	REUTERS	2013-02-15 23:15:09+00:00	In a rarity, a meteor hit and an asteroid near-miss on same day	http://www.reuters.com/article/2013/02/15/us-space-asteroid-idUSBRE91E17O20130215
MB132	BBC	2013-02-15 12:47:26+00:00	Q&A: Asteroid and comet impacts	http://www.bbc.co.uk/news/science-environment-21413066
MB132	BBC	2013-02-15 19:28:13+00:00	Asteroid 2012 DA14 in record-breaking Earth pass	http://www.bbc.co.uk/news/science-environment-21442863
MB132	USATODAY	2013-02-15 17:42:42+00:00	What if an asteroid were really headed our way?	http://www.usatoday.com/story/tech/columnist/vergano/2013/02/15/asteroid-civil-defense/1920553/
MB132	BBC	2013-02-15 02:55:57+00:00	Asteroid, Russian meteor: Can we know about every ...	http://www.bbc.co.uk/news/science-environment-21459861
MB132	REUTERS	2013-02-15 23:20:27+00:00	In a rarity, a meteor hit and an asteroid near-miss on same day ...	http://uk.reuters.com/article/2013/02/15/uk-space-asteroid-idUKBRE91E18520130215
MB132	USATODAY	2013-02-15 17:58:18+00:00	Close call? Kind of, as asteroid hurtles past Earth	http://www.usatoday.com/story/tech/world/2013/02/15/asteroid-flyby/1922909/
MB132	USATODAY	2013-02-13 00:09:54+00:00	Astronomer: Asteroid strike in 2106 looks unlikely	http://www.usatoday.com/story/tech/sciencefair/2013/02/12/asteroid-2106-relax/1914255/
MB132	REUTERS	2013-02-08 09:56:51+00:00	Asteroid may have killed dinosaurs quicker than scientists thought	http://www.reuters.com/article/2013/02/08/us-space-asteroid-dinosaurs-idUSBRE91618A20130208
